id,condition,batch,x,y
mix_000,A,mb00,-0.6253505394778575,0.7646929912198822
mix_001,B,mb00,0.8156476387819698,3.9716566768801416
mix_002,A,mb00,-1.0775193565839294,1.6344071783994956
mix_003,B,mb00,-0.7040820472748887,3.208930527091156
mix_004,A,mb00,-0.6782976592214975,0.9292597620090038
mix_005,B,mb00,0.37510404533358416,3.2820661396559614
mix_006,A,mb00,-0.09700166971748855,1.43650028734343
mix_007,B,mb00,-0.9059088488124591,2.8397873981742254
mix_008,A,mb00,0.6497783499066643,1.3494162371420062
mix_009,B,mb00,-0.8693008060626449,1.8798316957344874
mix_010,A,mb00,0.849798469749051,2.9856724435084203
mix_011,B,mb00,-1.1096471357091753,2.6613193779416235
mix_012,A,mb00,-0.913766647209235,1.1089956494141784
mix_013,B,mb00,1.0984642920813772,3.0935729194719386
mix_014,A,mb01,-2.1949711156421388,-0.3980071782380734
mix_015,B,mb01,-1.1655090599136022,2.4863595616254504
mix_016,A,mb01,-0.037597607195332526,1.5867345185857222
mix_017,B,mb01,1.1294403853835944,3.894941279605378
mix_018,A,mb01,-0.052488391789627886,1.2077807508203255
mix_019,B,mb01,0.40759051019414266,4.561474749285567
mix_020,A,mb01,0.17550133046128932,1.9237978420380673
mix_021,B,mb01,-1.1360493074810607,2.6666842496171106
mix_022,A,mb01,0.7647108671188669,3.0718365172095154
mix_023,B,mb01,0.2959328173041926,4.595478985433397
mix_024,A,mb01,0.5652465595929427,3.1278658380304565
mix_025,B,mb01,1.0656443579971082,5.024721589654912
mix_026,A,mb01,1.1814198453240918,2.8300120494302896
mix_027,B,mb01,-0.22887980433551852,3.3156054832867574
mix_028,A,mb02,-0.8603177780043956,-4.103007361777703
mix_029,B,mb02,2.4525724330478806,0.7964931290285538
mix_030,A,mb02,-0.2872679669013514,-2.8563229485991037
mix_031,B,mb02,1.4413340786320472,0.05841562596591757
mix_032,A,mb02,-0.3256026866240056,-2.3161374200605045
mix_033,B,mb02,0.21241456722612892,-1.4037645085037513
mix_034,A,mb02,0.41274076887919164,-2.160350775265655
mix_035,B,mb02,0.2054579744306666,-0.1809503711672385
mix_036,A,mb02,1.1243236732848716,-2.2361110562428905
mix_037,B,mb02,-1.1762710905409295,-1.2222307757201303
mix_038,A,mb02,0.6822588669412353,-2.431217522612772
mix_039,B,mb02,0.18220811146056706,0.47361174485219126
mix_040,A,mb02,0.08343703147536556,-2.444419600664803
mix_041,B,mb02,0.7906306192476765,-0.60745811774794
mix_042,A,mb03,-0.21480582770747447,-0.9705445586394371
mix_043,B,mb03,-1.2685875223718657,-0.4492932263918217
mix_044,A,mb03,-0.48451075020474943,-2.3717352358869954
mix_045,B,mb03,0.4999313316874355,0.07310541703276285
mix_046,A,mb03,0.7661595338903373,-0.5562734317233868
mix_047,B,mb03,0.17584661374553162,-0.23405063819082128
mix_048,A,mb03,1.8264705610688983,0.18102187897392547
mix_049,B,mb03,1.012086038680811,1.776887711312717
mix_050,A,mb03,-0.9355577976795635,-2.238082639615458
mix_051,B,mb03,-0.13947550900255387,0.5003013261065798
mix_052,A,mb03,1.7451288160688536,0.2564102628451145
mix_053,B,mb03,-0.13653882943628817,0.3945762688250547
mix_054,A,mb03,-0.7842489100384173,-1.3559664622225558
